MONTH,UNIQUE_CARRIER,DEP_DELAY,ARR_DELAY,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,TOTAL_DELAY
1,AA,11.214197756088209,6.0032609687127945,4.0950697801697533,1.1647815379001425,2.1025494846301687,0.0013910425978290698,4.7600337498860892,17.217458724801006
2,AA,11.234776467204508,7.0024272902443876,4.1565041396909352,0.93073515816166152,3.234839588678915,0.0012467189511519974,5.4619459570761553,18.237203757448896
3,AA,8.4819423935258893,4.572967336153134,3.5534852572440636,0.47663180872351291,2.6542120432892693,0.0082709810235188658,4.4295039564012271,13.054909729679023
4,AA,6.5656928236750556,2.7201116665803906,3.3399612279202584,0.40396711122576884,2.3844256738445431,0.0043207053326384456,3.6817331115099186,9.2858044902554457
5,AA,10.283272295763862,6.5098538103746018,3.7881186428512899,1.100936157242544,2.929634078549844,0.0096604134242966218,4.9218273977115876,16.793126106138462
6,AA,17.22406632637043,16.044959494923667,6.032604238679113,1.3091928403252517,4.2782113128126245,0.0063865396746402561,8.4918935230321964,33.269025821294093
7,AA,12.711477821637448,11.198848193146324,4.8012325005203307,0.84440753640139177,3.3322047304187326,0.0065512814881096811,6.3160753604837847,23.91032601478377
8,AA,12.477037226631875,10.907205568746603,4.644167858903443,1.0317948199567033,3.2010801717086217,0.003235659751893561,6.4559706593867245,23.384242795378476
9,AA,6.3393706023833998,3.6699288376028116,3.5585798673602103,0.14426399963945499,2.6504867370355063,0.041129610806909578,3.2791561422807214,10.009299439986211
10,AA,9.1344410164522145,7.5376982484955839,3.6802028004749907,0.45764418432482773,3.840223317155349,0.037091280226249024,4.741818579082878,16.672139264947798
11,AA,9.7924863406524523,5.8798060530286476,4.1299279022415938,0.47712844292621731,2.188839363358202,0.0077674823273893336,5.3345746787559607,15.672292393681101
12,AA,14.083981250455063,11.307390818063945,6.083436231311552,0.33881220060510919,3.021472840304539,0.019684430277189344,6.6097801511264525,25.391372068519008
1,AS,0.72494495637280498,-3.9433254505424395,1.6676180380005721,0.32218869770855535,1.4463018837151951,0.0027725678871401791,2.0331892685313289,-3.2183804941696348
2,AS,1.5956695354595898,-3.7450757650216615,1.7108229100158123,0.47458381396093563,2.6861886743295655,0.061451959663048346,2.4332734211813896,-2.1494062295620715
3,AS,1.0458205421541267,-3.3827501011557102,1.8429756499981351,0.21083572366248399,1.718851807086146,0.067094110791141678,2.0769629346940754,-2.3369295590015833
4,AS,-0.78284464394980524,-4.0580947791816806,1.3177002274223726,0.10561071561417047,1.634330928800958,0.013410927454824624,1.8823957852283657,-4.840939423131486
5,AS,-0.42692839172413533,-2.9842959513782605,1.158058015320228,0.17482174485024324,1.5239674827664513,0.018538108855680482,1.8010320147340368,-3.4112243431023961
6,AS,1.905759097219925,0.16169833951320833,1.8528488147731021,0.21441228177942193,1.7742479297884934,0.055594328035567443,2.5013468187733348,2.0674574367331333
7,AS,2.698413626126317,0.74795540799085658,2.0708936263384214,0.3319825144024442,1.8517070340112549,0.10473497977530236,2.8822922589150743,3.4463690341171738
8,AS,2.4662020513599074,0.56497698845095989,1.8517843930866265,0.46354316314165395,1.8063000858941118,0.10726946104592881,2.7028848990139918,3.0311790398108673
9,AS,1.2204533776008517,-0.9210219105989802,1.8477889214556067,0.28263976279676167,1.7885913641031512,0.036253006611459797,2.4361313710622885,0.29943146700187151
10,AS,1.1049256586486957,-2.3417446923486063,1.5976453410063087,0.18010353946813348,1.7484490818685086,0.083935084920167213,1.8220742720698928,-1.2368190336999105
11,AS,2.1210560069634115,-3.5267117295443979,1.554350808017497,0.33270081829735149,1.7132670218575781,0.056751700714280193,2.3899970836518261,-1.4056557225809865
12,AS,5.0983078998667235,-0.38612467514995358,2.3506543025525009,0.25714825292984828,2.3095362203920788,0.044048540644042712,3.7121976213176402,4.7121832247167701
1,B6,26.939031811894388,25.118782849238851,9.6878008298751563,2.9983955739971555,4.7635961272473502,0.049958506224065689,12.049017980636359,52.057814661133236
2,B6,15.616238376901812,13.957409953058781,5.6701829259104217,0.67485705443575184,4.6619728515357801,0.052072035669711358,7.4038447837909533,29.573648329960591
3,B6,8.087664980499504,4.1562330079974936,3.5841926468005627,0.19078032417046137,2.8159601347865051,0.010158069352428259,4.0695895391148227,12.243897988496997
4,B6,7.8539330281933175,4.5599047541508408,3.115354764795025,0.1698363052661519,3.7839407953457851,0.031132284700776117,4.2343760751752066,12.413837782344158
5,B6,9.474145871950526,3.8939569802176091,3.4291231944930969,0.36845989403407614,3.4035335114213132,0.036176717175978236,4.4820238669487527,13.368102852168136
6,B6,8.925436195837829,4.8300590540262549,3.3924069480196226,0.57232512765815668,3.4564739552181458,0.012436683113474449,4.2392846078681332,13.755495249864083
7,B6,19.112665734771717,17.337802660966442,5.2276782444357144,1.2660137601412362,6.2068034038125433,0.034511287141997971,8.9654702393599344,36.450468395738156
8,B6,8.1628839310575518,4.683367149425929,3.487233262229203,0.36307249420974791,2.7781970990838127,0.058377479423262726,4.129142927996833,12.84625108048348
9,B6,2.3800720321940148,-1.1174860365702988,2.0913949379093344,0.2114980778088103,2.4660167659271846,0.030853192189425449,2.2091879686924352,1.262585995623716
10,B6,3.4613736081947484,-0.28910770674923203,2.2349068317456853,0.15794268070174144,3.0062489395959098,0.011911025097515456,2.3041160897728825,3.1722659014455163
11,B6,5.1594825496078274,1.3336555805440979,2.5873768619964994,0.19110332780058306,2.9477689949139227,0.020084578355907684,2.9478654478391442,6.4931381301519249
