MONTH,UNIQUE_CARRIER,ORIGIN,DEST,YEAR,AIRLINE_ID,FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 25
10,AA,ABQ,DFW,2014.0,19805.0,1328.701923076923,10140.0,11298.0,1103.0288461538462,12.596153846153847,1356.6201923076924,12.26923076923077,5.341346153846154,0.0,3.4086538461538463,0.0,8.596153846153847,0.0
10,AA,ANC,DFW,2014.0,19805.0,278.0,10299.0,11298.0,2044.0,-1.0,514.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AA,ATL,DFW,2014.0,19805.0,781.0268456375838,10397.0,11298.0,1409.711409395973,25.298657718120804,1531.9161073825503,28.35234899328859,11.533557046979865,0.11073825503355705,6.4630872483221475,0.0,12.463087248322148,0.0
10,AA,ATL,MIA,2014.0,19805.0,834.5,10397.0,13303.0,734.0322580645161,-5.112903225806452,927.6774193548387,-5.516129032258065,0.8387096774193549,0.0,0.4032258064516129,0.0,0.0,0.0
10,AA,AUS,DFW,2014.0,19805.0,1487.383908045977,10423.0,11298.0,1123.1011494252873,5.296551724137931,1228.0206896551724,6.641379310344828,1.7310344827586206,0.0,3.47816091954023,0.0,4.751724137931035,0.0
10,AA,AUS,JFK,2014.0,19805.0,290.0,10423.0,12478.0,980.5806451612904,5.096774193548387,1462.9032258064517,-2.967741935483871,0.0,0.0,3.4193548387096775,0.0,1.5161290322580645,0.0
10,AA,AUS,LAX,2014.0,19805.0,1120.2702702702702,10423.0,12892.0,1304.099099099099,2.2972972972972974,1420.7387387387387,-0.6306306306306306,0.38738738738738737,0.0,1.3513513513513513,0.0,3.5945945945945947,0.0
10,AA,AUS,ORD,2014.0,19805.0,1780.1681415929204,10423.0,13930.0,1223.0973451327434,16.238938053097346,1499.7433628318583,26.15929203539823,2.0973451327433628,0.0,15.584070796460177,0.0,8.460176991150442,0.0
10,AA,BDL,DFW,2014.0,19805.0,1932.8620689655172,10529.0,11298.0,1182.1149425287356,9.64367816091954,1492.3218390804598,16.03448275862069,2.9310344827586206,0.13793103448275862,9.816091954022989,0.0,5.712643678160919,0.0
10,AA,BDL,MIA,2014.0,19805.0,349.0,10529.0,13303.0,648.5666666666667,-1.4333333333333333,978.5666666666667,-1.1,0.0,0.0,1.7333333333333334,0.0,0.0,0.0
10,AA,BHM,DFW,2014.0,19805.0,1767.6842105263158,10599.0,11298.0,1155.6491228070176,9.859649122807017,1362.017543859649,14.12280701754386,4.684210526315789,1.2456140350877194,5.2631578947368425,0.0,4.701754385964913,0.0
10,AA,BNA,DFW,2014.0,19805.0,1500.1832061068703,10693.0,11298.0,1198.9503816793892,16.125954198473284,1391.6030534351146,19.370229007633586,7.927480916030534,0.5916030534351145,5.213740458015267,0.0,7.248091603053435,0.0
10,AA,BNA,LAX,2014.0,19805.0,1326.8367346938776,10693.0,12892.0,1380.2244897959183,4.510204081632653,1610.3469387755101,0.5510204081632653,1.3877551020408163,0.5102040816326531,1.0408163265306123,0.14285714285714285,2.5510204081632653,0.0
10,AA,BNA,MIA,2014.0,19805.0,1283.0,10693.0,13303.0,657.1612903225806,-1.7096774193548387,987.0322580645161,-3.4838709677419355,0.3225806451612903,0.0,0.16129032258064516,0.0,0.0,0.0
10,AA,BOS,DFW,2014.0,19805.0,1362.2416666666666,10721.0,11298.0,1232.9125,8.016666666666667,1532.3416666666667,7.870833333333334,2.308333333333333,0.9416666666666667,5.408333333333333,0.0,5.2625,0.0
10,AA,BOS,JFK,2014.0,19805.0,631.4180327868852,10721.0,12478.0,1198.3688524590164,8.40983606557377,1325.0245901639344,5.475409836065574,4.131147540983607,0.0,2.6639344262295084,0.0,5.639344262295082,0.0
10,AA,BOS,LAX,2014.0,19805.0,147.390243902439,10721.0,12892.0,1295.560975609756,2.3089430894308944,1427.959349593496,-10.373983739837398,1.008130081300813,0.0,1.089430894308943,0.0,2.796747967479675,0.0
10,AA,BOS,MIA,2014.0,19805.0,1465.7142857142858,10721.0,13303.0,1129.7926267281107,0.9216589861751152,1441.1566820276498,-2.824884792626728,1.152073732718894,0.04608294930875576,1.7004608294930876,0.0,2.5483870967741935,0.0
10,AA,BOS,ORD,2014.0,19805.0,1200.5183946488294,10721.0,13930.0,1306.7257525083612,17.645484949832777,1481.7792642140469,19.48829431438127,1.254180602006689,0.013377926421404682,15.585284280936454,0.0,6.581939799331104,0.0
10,AA,BWI,DFW,2014.0,19805.0,1006.5724137931035,10821.0,11298.0,1266.1310344827587,11.544827586206896,1487.193103448276,11.137931034482758,1.910344827586207,0.0,4.496551724137931,0.06896551724137931,7.9655172413793105,0.0
10,AA,BWI,MIA,2014.0,19805.0,293.9836065573771,10821.0,13303.0,1132.1311475409836,-4.918032786885246,1392.5245901639344,-6.426229508196721,0.0,0.01639344262295082,1.3114754098360655,0.0,0.32786885245901637,0.0
10,AA,CLE,DFW,2014.0,19805.0,1967.0,11042.0,11298.0,1271.8977272727273,8.772727272727273,1451.1477272727273,10.738636363636363,0.7045454545454546,0.6022727272727273,3.9545454545454546,0.0,5.9772727272727275,0.0
10,AA,CLT,DFW,2014.0,19805.0,1334.0227272727273,11057.0,11298.0,1243.409090909091,4.517045454545454,1407.778409090909,9.5,0.7784090909090909,0.4318181818181818,5.2727272727272725,0.0,5.079545454545454,0.0
